Product Name, Serial No, Category, Regular Price, Sale Price, Image URL
2 3/4' Kuruvi, 1, ONE SOUND CRACKERS, 35, 7, https://picsum.photos/seed/kuruvi/200/200
3 1/2' Lakshmi, 2, ONE SOUND CRACKERS, 60, 12, https://picsum.photos/seed/lakshmi1/200/200
4' Lakshmi, 3, ONE SOUND CRACKERS, 85, 17, https://picsum.photos/seed/lakshmi2/200/200
4' Lion Deluxe, 4, ONE SOUND CRACKERS, 100, 20, https://picsum.photos/seed/lion/200/200
Ground Chakkar Big, 5, CHAKKARS, 150, 30, https://picsum.photos/seed/chakkar-big/200/200
Flower Pots Special, 6, FLOWER POTS, 250, 50, https://picsum.photos/seed/pots-special/200/200
Rainbow Fountains, 7, FOUNTAINS, 500, 100, https://picsum.photos/seed/rainbow/200/200
Sparklers 10cm, 8, SPARKLERS, 40, 8, https://picsum.photos/seed/sparklers/200/200
Sky Shots 12 Color, 9, SKY SHOTS, 1200, 240, https://picsum.photos/seed/skyshots/200/200
Musical Crackers, 10, FANCI ITEMS, 300, 60, https://picsum.photos/seed/musical/200/200
